any,municipi,sexe,concepte,estat,valor
2023,Castellar de la Ribera,homes,població,,73
2023,Castellar de la Ribera,dones,població,,69
2023,Castellar de la Ribera,total,població,,142
2023,Castellar de n'Hug,homes,població,,93
2023,Castellar de n'Hug,dones,població,,78
2023,Castellar de n'Hug,total,població,,171
2023,Castellar del Riu,homes,població,,94
2023,Castellar del Riu,dones,població,,75
2023,Castellar del Riu,total,població,,169
2023,Castellar del Vallès,homes,població,,12432
2023,Castellar del Vallès,dones,població,,12718
2023,Castellar del Vallès,total,població,,25150
2023,Castellbell i el Vilar,homes,població,,2077
2023,Castellbell i el Vilar,dones,població,,1977
2023,Castellbell i el Vilar,total,població,,4054
2023,Castellbisbal,homes,població,,6423
2023,Castellbisbal,dones,població,,6390
2023,Castellbisbal,total,població,,12813
2023,Castellcir,homes,població,,409
2023,Castellcir,dones,població,,369
2023,Castellcir,total,població,,778
2023,Castelldans,homes,població,,466
2023,Castelldans,dones,població,,427
2023,Castelldans,total,població,,893
2023,Castelldefels,homes,població,,33378
2023,Castelldefels,dones,població,,35049
2023,Castelldefels,total,població,,68427
2023,Castellet i la Gornal,homes,població,,1345
2023,Castellet i la Gornal,dones,població,,1227
2023,Castellet i la Gornal,total,població,,2572
2023,Castellfollit de la Roca,homes,població,,480
2023,Castellfollit de la Roca,dones,població,,461
2023,Castellfollit de la Roca,total,població,,941
2023,Castellfollit de Riubregós,homes,població,,88
2023,Castellfollit de Riubregós,dones,població,,74
2023,Castellfollit de Riubregós,total,població,,162
2023,Castellfollit del Boix,homes,població,,236
2023,Castellfollit del Boix,dones,població,,225
2023,Castellfollit del Boix,total,població,,461
2023,Castellgalí,homes,població,,1183
2023,Castellgalí,dones,població,,1128
2023,Castellgalí,total,població,,2311
2023,Castellnou de Bages,homes,població,,746
2023,Castellnou de Bages,dones,població,,681
2023,Castellnou de Bages,total,població,,1427
2023,Castellnou de Seana,homes,població,,372
2023,Castellnou de Seana,dones,població,,334
2023,Castellnou de Seana,total,població,,706
2023,Castelló d'Empúries,homes,població,,5922
2023,Castelló d'Empúries,dones,població,,5809
2023,Castelló d'Empúries,total,població,,11731
2023,Castelló de Farfanya,homes,població,,279
2023,Castelló de Farfanya,dones,població,,252
2023,Castelló de Farfanya,total,població,,531
2023,Castellolí,homes,població,,311
2023,Castellolí,dones,població,,340
